                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6
                 Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.2653655071583823E+003   0.0000000000000000E+000                         0                         0                         1                         1
  0.4117168068807872E+003   0.0000000000000000E+000                         0                         0                         2                         2
  0.5470450689754322E+003   0.0000000000000000E+000                         0                         0                         3                         3
  0.6962487573846113E+003   0.0000000000000000E+000                         0                         0                         4                         4
  0.8458245858877509E+003   0.0000000000000000E+000                         0                         0                         5                         5
  0.9975664642319460E+003   0.0000000000000000E+000                         0                         0                         6                         6
  0.1146916655799658E+004   0.0000000000000000E+000                         0                         0                         7                         7
  0.1296594111202408E+004   0.0000000000000000E+000                         0                         0                         8                         8
  0.1444517205431816E+004   0.0000000000000000E+000                         0                         0                         9                         9
  0.1589723711761304E+004   0.0000000000000000E+000                         0                         0                        10                        10
  0.1732130078173010E+004   0.0000000000000000E+000                         0                         0                        11                        11
  0.1871383576822675E+004   0.0000000000000000E+000                         0                         0                        12                        12
  0.2010488161538622E+004   0.0000000000000000E+000                         0                         0                        13                        13
  0.2150025386632629E+004   0.0000000000000000E+000                         0                         0                        14                        14
  0.2289338903569434E+004   0.0000000000000000E+000                         0                         0                        15                        15
  0.2427914147894642E+004   0.0000000000000000E+000                         0                         0                        16                        16
  0.2565279846523540E+004   0.0000000000000000E+000                         0                         0                        17                        17
  0.2702975229383123E+004   0.0000000000000000E+000                         0                         0                        18                        18
  0.2841572873177464E+004   0.0000000000000000E+000                         0                         0                        19                        19
  0.2980696842282938E+004   0.0000000000000000E+000                         0                         0                        20                        20
  0.3120271874734663E+004   0.0000000000000000E+000                         0                         0                        21                        21
  0.3259714249177332E+004   0.0000000000000000E+000                         0                         0                        22                        22
  0.3399394310959000E+004   0.0000000000000000E+000                         0                         0                        23                        23
  0.3539551941692183E+004   0.0000000000000000E+000                         0                         0                        24                        24
  0.3679990601059415E+004   0.0000000000000000E+000                         0                         0                        25                        25
  0.3820887495592950E+004   0.0000000000000000E+000                         0                         0                        26                        26
  0.3961908480727652E+004   0.0000000000000000E+000                         0                         0                        27                        27
  0.4103127053189781E+004   0.0000000000000000E+000                         0                         0                        28                        28
