                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20231103"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                           conv_mx1_top_r                           conv_mx1_bot_r                           conv_mx2_top_r                           conv_mx2_bot_r                                mx1_top_r                                mx1_bot_r                                mx2_top_r                                mx2_bot_r                              cz_bot_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                                     Teff                                 log_Teff                               luminosity                                    log_L                                   radius                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               surface_h1                              surface_he4                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      705                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999913899995E-001                  2.0160833006946627E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999913899995E-001                  2.0160833006946627E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671711680458E+000                  2.9036294878830243E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671711680458E+000                  2.9036294878830243E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0170371445530966E-002                 -5.1063209141741410E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.1063209141741410E+000                 -5.1063209142195225E+000                 -1.5087224700453032E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3642677380806526E+003                  3.6399113857302998E+000                  1.2149086371991282E+000                  8.4543619619790997E-002                  1.9279785563270591E+000                  2.8510219921379309E-001                  3.8678632288755468E+000                  0.0000000000000000E+000                  1.4816792337078709E+001                  8.6741251628286900E-002                  6.6055685788087732E+000                  6.2124222016487585E-001                  8.5000496627254174E-001                  1.2966429887659308E+000                  6.9999999999999984E-001                  2.7997020236474890E-001                  3.4468833607860798E-003                  9.3805276451495393E-003                  6.9999999999999940E-001                  2.7997020236474901E-001                  3.4468833607860798E-003                  9.3805276451495393E-003                  6.9999999999999984E-001                  2.7997020236474890E-001                                        0                                        2 
                                       5                                      705                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2434008300782024E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2434008300782024E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671715459315E+000                  2.9036294873396318E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671715459315E+000                  2.9036294873396318E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0170371445530966E-002                 -5.1063209141435459E+000                 -9.8999999999999986E+001                 -2.0771069700814699E+001                 -5.1063209141435459E+000                 -5.1063209141889274E+000                 -1.5087224700887198E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3642724497786658E+003                  3.6399118545978086E+000                  1.2149138864931670E+000                  8.4545496085592683E-002                  1.9279785585373284E+000                  2.8510219971167611E-001                  3.8678632278797807E+000                  0.0000000000000000E+000                  1.4816792337103649E+001                  8.6741251646437575E-002                  6.6055685788155367E+000                  6.2124222016487196E-001                  8.5000496627254174E-001                  1.2966429887659308E+000                  6.9999999999999984E-001                  2.7997020236474890E-001                  3.4468833607860798E-003                  9.3805276451495393E-003                  6.9999999999999929E-001                  2.7997020236474901E-001                  3.4468833607860798E-003                  9.3805276451495393E-003                  6.9999999999999984E-001                  2.7997020236474890E-001                                        0                                        2 
                                      10                                      705                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2432074745034372E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2432074745034372E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671686048208E+000                  2.9036294841084864E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671686048208E+000                  2.9036294841084864E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0170371445530966E-002                 -5.1063209140852415E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.1063209140852415E+000                 -5.1063209141306229E+000                 -1.5087224704035837E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3642708264306566E+003                  3.6399116930562867E+000                  1.2149120743597788E+000                  8.4544848302958317E-002                  1.9279785549491339E+000                  2.8510219890340310E-001                  3.8678632294963267E+000                  0.0000000000000000E+000                  1.4816792337203408E+001                  8.6741251715472201E-002                  6.6055685788461265E+000                  6.2124222016485375E-001                  8.5000496627254229E-001                  1.2966429887659312E+000                  7.0000000000000018E-001                  2.7997020236474895E-001                  3.4468833607860798E-003                  9.3805276451495445E-003                  6.9999999999999962E-001                  2.7997020236474912E-001                  3.4468833607860811E-003                  9.3805276451495393E-003                  7.0000000000000029E-001                  2.7997020236474895E-001                                        0                                        2 
                                      15                                      705                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2431361719128998E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2431361719128998E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671672773249E+000                  2.9036294692315040E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671672773249E+000                  2.9036294692315040E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0170371445530966E-002                 -5.1063209141093084E+000                 -9.8999999999999986E+001                 -2.0771069700814699E+001                 -5.1063209141093084E+000                 -5.1063209141546899E+000                 -1.5087224720791834E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3642703019620285E+003                  3.6399116408657024E+000                  1.2149114884235870E+000                  8.4544638848363565E-002                  1.9279785534125524E+000                  2.8510219855727431E-001                  3.8678632301885845E+000                  0.0000000000000000E+000                  1.4816792337574887E+001                  8.6741251961252902E-002                  6.6055685789711163E+000                  6.2124222016477759E-001                  8.5000496627254174E-001                  1.2966429887659308E+000                  6.9999999999999984E-001                  2.7997020236474890E-001                  3.4468833607860798E-003                  9.3805276451495393E-003                  6.9999999999999929E-001                  2.7997020236474901E-001                  3.4468833607860798E-003                  9.3805276451495393E-003                  6.9999999999999984E-001                  2.7997020236474890E-001                                        0                                        2 
                                      20                                      705                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2431447645435259E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2431447645435259E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671668595993E+000                  2.9036294316825251E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671668595993E+000                  2.9036294316825251E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0170371445530966E-002                 -5.1063209144754040E+000                 -9.8999999999999986E+001                 -2.0470039705150718E+001                 -5.1063209144754040E+000                 -5.1063209145207855E+000                 -1.5087224774717177E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3642702165053224E+003                  3.6399116323617893E+000                  1.2149113926975350E+000                  8.4544604629164730E-002                  1.9279785529607487E+000                  2.8510219845550144E-001                  3.8678632303921301E+000                  0.0000000000000000E+000                  1.4816792338682813E+001                  8.6741252683074282E-002                  6.6055685793549594E+000                  6.2124222016454289E-001                  8.5000496627254229E-001                  1.2966429887659312E+000                  7.0000000000000018E-001                  2.7997020236474895E-001                  3.4468833607860798E-003                  9.3805276451495445E-003                  6.9999999999999962E-001                  2.7997020236474912E-001                  3.4468833607860811E-003                  9.3805276451495393E-003                  7.0000000000000029E-001                  2.7997020236474895E-001                                        0                                        2 
                                      25                                      705                  4.7198108322034473E-003                 -3.0996500948570040E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2432839639520431E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2432839639520431E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671662373863E+000                  2.9036293870516200E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671662373863E+000                  2.9036293870516200E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0170371445530966E-002                 -5.1063209150382987E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.1063209150382995E+000                 -5.1063209150836810E+000                 -1.5087224873254888E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3642702365640826E+003                  3.6399116343578637E+000                  1.2149114142590629E+000                  8.4544612336765926E-002                  1.9279785523465698E+000                  2.8510219831715217E-001                  3.8678632306688288E+000                  0.0000000000000000E+000                  1.4816792341051082E+001                  8.6741254245767660E-002                  6.6055685801560067E+000                  6.2124222016405495E-001                  8.5000496627254174E-001                  1.2966429887659308E+000                  6.9999999999999984E-001                  2.7997020236474890E-001                  3.4468833607860798E-003                  9.3805276451495393E-003                  6.9999999999999929E-001                  2.7997020236474901E-001                  3.4468833607860798E-003                  9.3805276451495393E-003                  6.9999999999999984E-001                  2.7997020236474890E-001                                        0                                        2 
                                      30                                      705                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2439227003781247E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2439227003781247E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671641363972E+000                  2.9036293511321620E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671641363972E+000                  2.9036293511321620E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0170371445530966E-002                 -5.1063209144472772E+000                 -9.8999999999999986E+001                 -2.0771069700814699E+001                 -5.1063209144472772E+000                 -5.1063209144926587E+000                 -1.5087224988776663E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3642702468520938E+003                  3.6399116353816376E+000                  1.2149114230722382E+000                  8.4544615487212399E-002                  1.9279785502497631E+000                  2.8510219784482760E-001                  3.8678632316134780E+000                  0.0000000000000000E+000                  1.4816792345380840E+001                  8.6741257195265362E-002                  6.6055685815294076E+000                  6.2124222016322794E-001                  8.5000496627254229E-001                  1.2966429887659312E+000                  7.0000000000000018E-001                  2.7997020236474895E-001                  3.4468833607860798E-003                  9.3805276451495445E-003                  6.9999999999999962E-001                  2.7997020236474912E-001                  3.4468833607860811E-003                  9.3805276451495393E-003                  7.0000000000000029E-001                  2.7997020236474895E-001                                        0                                        2 
                                      35                                      705                  2.9483411457712130E-002                 -2.3078376343807561E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2468468140696088E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2468468140696088E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671585235041E+000                  2.9036293214112191E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671585235041E+000                  2.9036293214112191E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0170371445530966E-002                 -5.1063209083079126E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.1063209083079126E+000                 -5.1063209083532941E+000                 -1.5087225067226353E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3642702476690447E+003                  3.6399116354629335E+000                  1.2149114169087216E+000                  8.4544613283939640E-002                  1.9279785446374289E+000                  2.8510219658059893E-001                  3.8678632341419350E+000                  0.0000000000000000E+000                  1.4816792353372103E+001                  8.6741262863207616E-002                  6.6055685838435050E+000                  6.2124222016186026E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999984E-001                  2.7997020236474890E-001                  3.4468833607860785E-003                  9.3805276451495393E-003                  6.9999999999999929E-001                  2.7997020236474901E-001                  3.4468833607860798E-003                  9.3805276451495393E-003                  6.9999999999999984E-001                  2.7997020236474890E-001                                        0                                        2 
                                      40                                      705                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2605817891322311E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999913899995E-001                  1.2605817891322311E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671443854843E+000                  2.9036292861944091E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9274671443854843E+000                  2.9036292861944091E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0170371445530966E-002                 -5.1063208841109473E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.1063208841109473E+000                 -5.1063208841563288E+000                 -1.5087225042133365E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.3642702449183016E+003                  3.6399116351892036E+000                  1.2149113960269811E+000                  8.4544605819342103E-002                  1.9279785304988706E+000                  2.8510219339576170E-001                  3.8678632405116096E+000                  0.0000000000000000E+000                  1.4816792369418568E+001                  8.6741274661355200E-002                  6.6055685880796968E+000                  6.2124222015940789E-001                  8.5000496627254229E-001                  1.2966429887659312E+000                  6.9999999999999984E-001                  2.7997020236474890E-001                  3.4468833607860776E-003                  9.3805276451495393E-003                  6.9999999999999962E-001                  2.7997020236474912E-001                  3.4468833607860811E-003                  9.3805276451495393E-003                  7.0000000000000018E-001                  2.7997020236474895E-001                                        0                                        2 
