                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                      30                                      705                  1.0000000000000000E+000                  2.0000000000000000E-002                  1.1818815689988481E-002                  1.9781359483314132E-003                  4.3642702468520938E+003                  1.2149114230722382E+000                  1.9279785502497631E+000                 -4.1389766316452041E+000                  7.0000000000000018E-001                  2.9797635251171374E-005                  2.7997020236474895E-001                  3.4468833607860798E-003                  1.0103427409336068E-003                  9.3805276451495445E-003                  2.0850244238750366E-003                  1.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251140637E-005                  2.7997020236474895E-001                  3.4468833607860794E-003                  1.0103427409336070E-003                  9.3805276451495410E-003                  2.0850244238750362E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.6792321943138730E+004                  1.0053889203776095E+007                  8.2310527418634729E+009                  7.8285095472123585E-006                  7.8285095472123568E-006                  0.0000000000000000E+000                  3.1326720057742157E-007                  5.0000000000000000E+001                  1.0000000000000000E+003                  3.7297345801838051E+005                               "r23.05.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20231103"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                   radius                                   csound                                       pp                                      cno                                tri_alpha                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                              mixing_type                                 brunt_N2                                 lamb_Sl1                                 lamb_Sl2 
                                       1                  1.0000000000000000E+000                  2.8510219784482760E-001                  3.6399547259388054E+000                 -6.8305075645947184E+000                  4.6115918477615017E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.9279785502497631E+000                  6.4970586532379012E+005                  2.1679118826379794E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138032E-005                  2.7997020236474895E-001                  3.4468833607860798E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  4.2643105800728365E-005                  1.0902540677787964E+000                  1.8883754385515172E+000 
                                       2                  9.9999999999899991E-001                  2.8510200508541028E-001                  3.6400517412691231E+000                 -6.8298318793864707E+000                  4.6123664331178640E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.9279776945263889E+000                  6.4981405504712521E+005                  2.1712886416761305E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138028E-005                  2.7997020236474895E-001                  3.4468833607860798E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  4.2606727692108758E-005                  1.0903352407346911E+000                  1.8885160342353275E+000 
                                       3                  9.9999999999775002E-001                  2.8510176451035874E-001                  3.6401597248224333E+000                 -6.8290829350982953E+000                  4.6132254682225069E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.9279766265339917E+000                  6.4993460155901127E+005                  2.1750376628302061E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138028E-005                  2.7997020236474895E-001                  3.4468833607860798E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  4.2515650162720721E-005                  1.0905378491336239E+000                  1.8888669622763192E+000 
                                       4                  9.9999999999650002E-001                  2.8510152434942637E-001                  3.6403219711724613E+000                 -6.8279629846819070E+000                  4.6145108461478133E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.9279755603805970E+000                  6.5011592796963244E+005                  2.1806559276335662E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138028E-005                  2.7997020236474895E-001                  3.4468833607860798E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  4.2424495304391576E-005                  1.0907410217835454E+000                  1.8892188676286916E+000 
                                       5                  9.9999999999400002E-001                  2.8510104526341901E-001                  3.6406475681387578E+000                 -6.8257356123907700E+000                  4.6170702562818713E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.9279734335619463E+000                  6.5048059103569062E+005                  2.1918727842195558E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138028E-005                  2.7997020236474895E-001                  3.4468833607860798E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  4.2241941988337245E-005                  1.0911490558911661E+000                  1.8899256034343115E+000 
                                       6                  9.9999999998900002E-001                  2.8510009198829933E-001                  3.6414123521700819E+000                 -6.8206017907412608E+000                  4.6229842526469991E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.9279692016705336E+000                  6.5134078443361830E+005                  2.2179465542516087E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138032E-005                  2.7997020236474895E-001                  3.4468833607860798E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  4.1875848171866774E-005                  1.0919718284857265E+000                  1.8913506873711659E+000 
                                       7                  9.9999999997650002E-001                  2.8509773677953743E-001                  3.6425240210583789E+000                 -6.8134251797481467E+000                  4.6312956958657470E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.9279587461896714E+000                  6.5260214719651581E+005                  2.2549160506127203E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138032E-005                  2.7997020236474895E-001                  3.4468833607860798E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  4.0956380248089267E-005                  1.0940671496606107E+000                  1.8949798901042396E+000 
                                       8                  9.9999999996400013E-001                  2.8509542013284683E-001                  3.6442183726436421E+000                 -6.8029793457358769E+000                  4.6434722767633287E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.9279484619527709E+000                  6.5454125538767804E+005                  2.3098307962103171E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138032E-005                  2.7997020236474895E-001                  3.4468833607860798E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  4.0031049205374486E-005                  1.0962160039954201E+000                  1.8987018149901946E+000 
                                       9                  9.9999999993899991E-001                  2.8509089684499334E-001                  3.6465526326927251E+000                 -6.7896434403366390E+000                  4.6591948319891650E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.9279283819821298E+000                  6.5724795895705291E+005                  2.3818872063178680E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138028E-005                  2.7997020236474895E-001                  3.4468833607860798E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  3.8168243816686680E-005                  1.1006678709291393E+000                  1.9064126747079317E+000 
                                      10                  9.9999999991399990E-001                  2.8508651020810927E-001                  3.6489586157758862E+000                 -6.7769311235746477E+000                  4.6743686240542024E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.9279089088380035E+000                  6.6006618067735562E+005                  2.4526662861282861E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138032E-005                  2.7997020236474895E-001                  3.4468833607860798E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  3.6299829160395596E-005                  1.1053147706640440E+000                  1.9144613411464655E+000 
                                      11                  9.9999999988900001E-001                  2.8508224998504089E-001                  3.6517419921870782E+000                 -6.7633189853497298E+000                  4.6908291098274217E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.9278899970579437E+000                  6.6334894616114057E+005                  2.5307892650742004E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138025E-005                  2.7997020236474895E-001                  3.4468833607860798E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  3.4437303751284131E-005                  1.1101387462154748E+000                  1.9228167118960136E+000 
                                      12                  9.9999999985774990E-001                  2.8507708886041261E-001                  3.6549372568696703E+000                 -6.7490019649667321E+000                  4.7084161731905665E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.9278670862869431E+000                  6.6713630847116280E+005                  2.6156447449518648E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138025E-005                  2.7997020236474895E-001                  3.4468833607860798E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  3.2137135902746035E-005                  1.1163904361894343E+000                  1.9336449565640808E+000 
                                      13                  9.9999999982650001E-001                  2.8507209492917240E-001                  3.6582261610749942E+000                 -6.7354636497269125E+000                  4.7253194306442339E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.9278449179640271E+000                  6.7103846863549354E+005                  2.6985011150620000E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138025E-005                  2.7997020236474895E-001                  3.4468833607860798E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  2.9882650915654045E-005                  1.1228555119919501E+000                  1.9448427963288215E+000 
                                      14                  9.9999999979525001E-001                  2.8506725410849032E-001                  3.6616004294987694E+000                 -6.7226435858211078E+000                  4.7415900779291515E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.9278234295502232E+000                  6.7503209489610326E+005                  2.7793803358768610E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138025E-005                  2.7997020236474895E-001                  3.4468833607860798E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  2.7683003516616783E-005                  1.1294934151286919E+000                  1.9563399818173797E+000 
                                      15                  9.9999999976400000E-001                  2.8506255394198948E-001                  3.6667670529574736E+000                 -6.7046038903966423E+000                  4.7649082087502705E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.9278025657298230E+000                  6.8109920036679029E+005                  2.8973121521507600E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138025E-005                  2.7997020236474895E-001                  3.4468833607860798E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  2.5541538148905248E-005                  1.1362507362423087E+000                  1.9680440053092216E+000 
                                      16                  9.9999999970150000E-001                  2.8505353565356517E-001                  3.6721504533287268E+000                 -6.6879658237545341E+000                  4.7870396747809254E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.9277625345993790E+000                  6.8735761490250495E+005                  3.0105130619776184E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138025E-005                  2.7997020236474895E-001                  3.4468833607860798E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  2.1451308984064366E-005                  1.1500646269786279E+000                  1.9919703659147316E+000 
                                      17                  9.9999999967024988E-001                  2.8504919578980648E-001                  3.6757864845294161E+000                 -6.6775191221869523E+000                  4.8011918192839413E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.9277432707466096E+000                  6.9152932444015832E+005                  3.0838396215407308E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138028E-005                  2.7997020236474895E-001                  3.4468833607860798E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  1.9499307678196493E-005                  1.1570778839664349E+000                  2.0041176833441510E+000 
                                      18                  9.9999999963900010E-001                  2.8504495894789744E-001                  3.6813020470122413E+000                 -6.6627325184517101E+000                  4.8215919803564127E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.9277244643744824E+000                  6.9776726714938879E+005                  3.1906924556989185E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138025E-005                  2.7997020236474895E-001                  3.4468833607860798E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  1.7588121748522317E-005                  1.1640795522795258E+000                  2.0162449286001691E+000 
                                      19                  9.9999999957649999E-001                  2.8503676856336629E-001                  3.6888284308081882E+000                 -6.6445875925175342E+000                  4.8473839861183992E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.9276881096511065E+000                  7.0610585614181892E+005                  3.3268871652499925E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138025E-005                  2.7997020236474895E-001                  3.4468833607860798E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  1.3956849732960363E-005                  1.1780784767008703E+000                  2.0404917769492550E+000 
                                      20                  9.9999999951399998E-001                  2.8502891288967785E-001                  3.6964510319180048E+000                 -6.6279697728161855E+000                  4.8717314512664762E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.9276532412555001E+000                  7.1433888009824511E+005                  3.4567148243839206E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138028E-005                  2.7997020236474895E-001                  3.4468833607860798E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  1.0689629313751603E-005                  1.1920063234996452E+000                  2.0646155152447685E+000 
                                      21                  9.9999999945149987E-001                  2.8502135172423620E-001                  3.7022024736354648E+000                 -6.6163868932682153E+000                  4.8891373473396840E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.9276196806674666E+000                  7.2041571826201037E+005                  3.5501921406477811E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138025E-005                  2.7997020236474895E-001                  3.4468833607860798E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  7.8844220160957881E-006                  1.2057356905876229E+000                  2.0883954765969093E+000 
                                      22                  9.9999999942025009E-001                  2.8501767049613097E-001                  3.7060222817854642E+000                 -6.6090217590036593E+000                  4.9003657932536111E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.9276033415750620E+000                  7.2438893879056966E+005                  3.6109417330571973E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138025E-005                  2.7997020236474895E-001                  3.4468833607860798E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  6.6805951529259106E-006                  1.2124800256805341E+000                  2.1000770076411022E+000 
                                      23                  9.9999999938899997E-001                  2.8501405107976241E-001                  3.7117176335592532E+000                 -6.5984594857991725E+000                  4.9166827528438768E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.9275872769684297E+000                  7.3022151270232641E+005                  3.6998814402476414E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138025E-005                  2.7997020236474895E-001                  3.4468833607860798E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  5.6078345950475018E-006                  1.2190876426526049E+000                  2.1115217359536826E+000 
                                      24                  9.9999999932649997E-001                  2.8500698591498663E-001                  3.7192399151804518E+000                 -6.5852057303415545E+000                  4.9375280908457952E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.9275559189578542E+000                  7.3776207422276563E+005                  3.8145911054972528E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138025E-005                  2.7997020236474895E-001                  3.4468833607860798E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  3.7253504247498381E-006                  1.2319620914997260E+000                  2.1338209354763431E+000 
