                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                    9000                                     1710                  1.0000000000000000E+000                  2.0000000000000000E-002                  1.2160279929229923E+010                  4.1903479658705152E+002                  3.1597341324654408E+003                  2.2337050120501067E+003                  1.5771208999709171E+002                  2.0298524453613965E+001                  6.5104361992187163E-041                  0.0000000000000000E+000                  9.8012332468585728E-001                  5.7001525528665587E-005                  9.8064977963446924E-003                  3.8509296355557143E-003                  2.0850245273340072E-003                  1.0000000000000000E+000                  0.0000000000000000E+000                  3.7239091170216726E-001                  7.2637452395579152E-004                  6.0704019222468331E-001                  1.7009137459920139E-003                  6.2011658376766813E-003                  5.7781956231277541E-003                  2.0850245130766007E-003                  4.5081544012861263E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9822322468605760E+007                  6.6848259237183356E+001                  4.4768668853108520E+006                  2.2086621024272795E+003                  2.2085837333143363E+003                  7.8168178947916805E-002                  1.5096459873306887E+002                  5.0000000000000000E+001                  1.0000000000000000E+003                  3.8374924989466624E+017                               "r23.05.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20231101"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                   radius                                   csound                                       pp                                      cno                                tri_alpha                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                              mixing_type                                 brunt_N2                                 lamb_Sl1                                 lamb_Sl2 
                                       1                  1.0000000000000000E+000                  2.1978649870369895E+000                  3.4996505416448151E+000                 -8.4697849967978520E+000                  2.8302043325536528E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.5771208999709171E+002                  5.1589206726677791E+005                  4.9715456513844476E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.4468833607861557E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  7.0388327168620672E-013                  1.0582955962949671E-002                  1.8330217422092843E-002 
                                       2                  9.9999999999899991E-001                  2.1978649870216453E+000                  3.4996505418483639E+000                 -8.4697849953891424E+000                  2.8302043341817398E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.5771208999151946E+002                  5.1589206753448432E+005                  4.9715456675114451E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138618E-005                  2.7997020236474890E-001                  3.4468833607861557E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556769E-003                                        0                  7.3858785154035606E-013                  1.0582955964892645E-002                  1.8330217425458168E-002 
                                       3                  9.9999999999650002E-001                  2.1978649869832774E+000                  3.4996505423754090E+000                 -8.4697849917415891E+000                  2.8302043383973223E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.5771208997758634E+002                  5.1589206822765403E+005                  4.9715457092688120E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.4468833607861553E-003                  1.0103427409336068E-003                  9.3805276451495445E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  8.7437132896254329E-013                  1.0582955973672894E-002                  1.8330217440666007E-002 
                                       4                  9.9999999998993749E-001                  2.1978649868825677E+000                  3.4996505446289845E+000                 -8.4697849746046092E+000                  2.8302043564225752E+000                  6.9999999632366783E-001                  2.8000000367633232E-001                  1.9999999999999796E-002                  1.5771208994101406E+002                  5.1589207036235795E+005                  4.9715458532332774E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9999999632366783E-001                  2.9801311583382537E-005                  2.7997020236474895E-001                  3.4468833607860798E-003                  1.0103427409336070E-003                  9.3805276451495445E-003                  2.0850244238750371E-003                  4.0772218292556787E-003                                        0                  1.7406496314964615E-012                  1.0582955993840196E-002                  1.8330217475596797E-002 
                                       5                  9.9999999995775002E-001                  2.1978649863886082E+000                  3.4996505497722268E+000                 -8.4697849346495868E+000                  2.8302043975608542E+000                  6.9999998591918577E-001                  2.8000001408081437E-001                  1.9999999999999796E-002                  1.5771208976163493E+002                  5.1589207478001516E+005                  4.9715461628496968E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9999998591918577E-001                  2.9811716065590411E-005                  2.7997020236474879E-001                  3.4468833607860789E-003                  1.0103427409336064E-003                  9.3805276451495445E-003                  2.0850244238750358E-003                  4.0772218292556769E-003                                        0                  1.5096979892841685E-011                  1.0582956075234996E-002                  1.8330217616576727E-002 
                                       6                  9.9999999990150001E-001                  2.1978649855253778E+000                  3.4996505605857542E+000                 -8.4697847052765276E+000                  2.8302044840529827E+000                  6.9999961713787440E-001                  2.8000038286212564E-001                  2.0000000000000018E-002                  1.5771208944815666E+002                  5.1589200582340447E+005                  4.9715435503593903E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9999961713787440E-001                  3.0180497376916433E-005                  2.7997020236474873E-001                  3.4468833607860785E-003                  1.0103427409336105E-003                  9.3805276451495393E-003                  2.0850244238750353E-003                  4.0772218292556752E-003                                        0                  1.6987753641428311E-010                  1.0582955725973876E-002                  1.8330217011638721E-002 
                                       7                  9.9999999977181253E-001                  2.1978649835351538E+000                  3.4996505758518572E+000                 -8.4697809750345421E+000                  2.8302046061594912E+000                  6.9999096749038736E-001                  2.8000903250960874E-001                  2.0000000000003904E-002                  1.5771208872541584E+002                  5.1589007497289253E+005                  4.9714633900719261E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9999096749038736E-001                  3.8830144731707236E-005                  2.7997020236487702E-001                  3.4468833607621532E-003                  1.0103427409615207E-003                  9.3805276451495445E-003                  2.0850244238750371E-003                  4.0772218292556778E-003                                        0                  1.0678971358122620E-009                  1.0582935218976453E-002                  1.8330181492477279E-002 
                                       8                  9.9999999963900010E-001                  2.1978649814969886E+000                  3.4996505953880472E+000                 -8.4697317054425376E+000                  2.8302047624267024E+000                  6.9987371964194645E-001                  2.8012628034616943E-001                  2.0000000011884067E-002                  1.5771208798526521E+002                  5.1586365500514186E+005                  4.9703619600419557E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9987371964194645E-001                  1.5606174874411967E-004                  2.7997021859742532E-001                  3.4468832894843939E-003                  1.0103428241147237E-003                  9.3805276451542838E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  3.9156788174438638E-009                  1.0582700958475036E-002                  1.8329775741386611E-002 
                                       9                  9.9999999943587503E-001                  2.1978649783801476E+000                  3.4996506235480465E+000                 -8.4694250359806578E+000                  2.8302049877421189E+000                  6.9914262039678854E-001                  2.8085737617697160E-001                  2.0000003426239865E-002                  1.5771208685339855E+002                  5.1569877287257777E+005                  4.9634869011764357E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9914262039678854E-001                  8.2561155286991334E-004                  2.8003176462410168E-001                  3.4468628050831011E-003                  1.0103667205599676E-003                  9.3805276474662313E-003                  2.0850244238750371E-003                  4.0772218292556778E-003                                        0                  9.3039069574634152E-009                  1.0580954912439522E-002                  1.8326751500940749E-002 
                                      10                  9.9999999915462501E-001                  2.1978649740675706E+000                  3.4996506643830845E+000                 -8.4684975788068115E+000                  2.8302053148126953E+000                  6.9693333560891313E-001                  2.8306639819973839E-001                  2.0000266191348537E-002                  1.5771208528730551E+002                  5.1520026302677108E+005                  4.9427117191951167E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9693333560891313E-001                  1.4891718705643477E-003                  2.8157722632917404E-001                  3.4452864181642976E-003                  1.0122056009440692E-003                  9.3805279191094323E-003                  2.0850244238750366E-003                  4.0772218292556787E-003                                        0                  1.5319481539766969E-008                  1.0574900506189160E-002                  1.8316264961705461E-002 
                                      11                  9.9999999873275003E-001                  2.1978649676125013E+000                  3.4996507273043811E+000                 -8.4666601759598308E+000                  2.8302058199545752E+000                  6.9256857150653550E-001                  2.8742535276904946E-001                  2.0006075724415040E-002                  1.5771208294317623E+002                  5.1421411914502899E+005                  4.9016896149434087E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9256857150653550E-001                  1.4798642428676134E-003                  2.8594548852618185E-001                  3.4104379628953256E-003                  1.0528519317723288E-003                  9.3805395766167737E-003                  2.0850244238750371E-003                  4.0772218292556787E-003                                        0                  1.8171722769258253E-008                  1.0560905833699031E-002                  1.8292025477917268E-002 
