                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6
                 Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.2544479708708694E+003   0.0000000000000000E+000                         0                         0                         1                         1
  0.3969608444049531E+003   0.0000000000000000E+000                         0                         0                         2                         2
  0.5246926336759933E+003   0.0000000000000000E+000                         0                         0                         3                         3
  0.6644585845880714E+003   0.0000000000000000E+000                         0                         0                         4                         4
  0.8052766228968184E+003   0.0000000000000000E+000                         0                         0                         5                         5
  0.9484485045109308E+003   0.0000000000000000E+000                         0                         0                         6                         6
  0.1089669927896740E+004   0.0000000000000000E+000                         0                         0                         7                         7
  0.1231514762730356E+004   0.0000000000000000E+000                         0                         0                         8                         8
  0.1371950201636952E+004   0.0000000000000000E+000                         0                         0                         9                         9
  0.1509907667535538E+004   0.0000000000000000E+000                         0                         0                        10                        10
  0.1645019244531318E+004   0.0000000000000000E+000                         0                         0                        11                        11
  0.1777004667225382E+004   0.0000000000000000E+000                         0                         0                        12                        12
  0.1908998894415391E+004   0.0000000000000000E+000                         0                         0                        13                        13
  0.2041685809194526E+004   0.0000000000000000E+000                         0                         0                        14                        14
  0.2174305938677361E+004   0.0000000000000000E+000                         0                         0                        15                        15
  0.2306100083483177E+004   0.0000000000000000E+000                         0                         0                        16                        16
  0.2436569021016092E+004   0.0000000000000000E+000                         0                         0                        17                        17
  0.2567358332513701E+004   0.0000000000000000E+000                         0                         0                        18                        18
  0.2699170737598924E+004   0.0000000000000000E+000                         0                         0                        19                        19
  0.2831657232967782E+004   0.0000000000000000E+000                         0                         0                        20                        20
  0.2964610159066912E+004   0.0000000000000000E+000                         0                         0                        21                        21
  0.3097375739482748E+004   0.0000000000000000E+000                         0                         0                        22                        22
  0.3230308643820044E+004   0.0000000000000000E+000                         0                         0                        23                        23
  0.3363656127281540E+004   0.0000000000000000E+000                         0                         0                        24                        24
  0.3497291383875986E+004   0.0000000000000000E+000                         0                         0                        25                        25
  0.3631399806182937E+004   0.0000000000000000E+000                         0                         0                        26                        26
  0.3765638297999773E+004   0.0000000000000000E+000                         0                         0                        27                        27
  0.3900049357755970E+004   0.0000000000000000E+000                         0                         0                        28                        28
  0.4034589409885571E+004   0.0000000000000000E+000                         0                         0                        29                        29
  0.4169087037216222E+004   0.0000000000000000E+000                         0                         0                        30                        30
  0.4303693328974466E+004   0.0000000000000000E+000                         0                         0                        31                        31
  0.4438118716511985E+004   0.0000000000000000E+000                         0                         0                        32                        32
  0.4572253998851579E+004   0.0000000000000000E+000                         0                         0                        33                        33
  0.4705554694580061E+004   0.0000000000000000E+000                         0                         0                        34                        34
  0.4835477528247755E+004   0.0000000000000000E+000                         0                         0                        35                        35
  0.4967188581584455E+004   0.0000000000000000E+000                         0                         0                        36                        36
  0.5097151094785339E+004   0.0000000000000000E+000                         0                         0                        37                        37
  0.5224606801732531E+004   0.0000000000000000E+000                         0                         0                        38                        38
  0.5348956182669044E+004   0.0000000000000000E+000                         0                         0                        39                        39
  0.5470681547189422E+004   0.0000000000000000E+000                         0                         0                        40                        40
  0.5592297944135708E+004   0.0000000000000000E+000                         0                         0                        41                        41
  0.5716343827167316E+004   0.0000000000000000E+000                         0                         0                        42                        42
  0.5843561856792398E+004   0.0000000000000000E+000                         0                         0                        43                        43
  0.5973479967189728E+004   0.0000000000000000E+000                         0                         0                        44                        44
  0.6105205689265340E+004   0.0000000000000000E+000                         0                         0                        45                        45
  0.6238154315099790E+004   0.0000000000000000E+000                         0                         0                        46                        46
  0.6371913791908826E+004   0.0000000000000000E+000                         0                         0                        47                        47
  0.6506149082357387E+004   0.0000000000000000E+000                         0                         0                        48                        48
