                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20231104"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                           conv_mx1_top_r                           conv_mx1_bot_r                           conv_mx2_top_r                           conv_mx2_bot_r                                mx1_top_r                                mx1_bot_r                                mx2_top_r                                mx2_bot_r                              cz_bot_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                                     Teff                                 log_Teff                               luminosity                                    log_L                                   radius                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               surface_h1                              surface_he4                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      697                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999945149998E-001                  3.9148088734698355E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999945149998E-001                  3.9148088734698355E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8564436120988954E+000                  3.6494953423109600E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8564436120988954E+000                  3.6494953423109600E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3393084744740629E-002                 -4.9495465452485323E+000                 -9.8999999999999986E+001                 -2.0771069700814699E+001                 -4.9495465452485323E+000                 -4.9495465453494125E+000                 -1.4583524978157996E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.2894601510396997E+003                  3.6324026375979082E+000                  1.0515691583209970E+000                  2.1837840112696353E-002                  1.8568071753871962E+000                  2.6876680572502826E-001                  3.9005340158530766E+000                  0.0000000000000000E+000                  1.4881884376970515E+001                  1.3699687464030844E-001                  6.6203914809416462E+000                  6.2123402295188368E-001                  8.5000496627254174E-001                  1.2966653545593156E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.5436627115084532E-003                  8.5951420554398889E-003                  6.9999999999999951E-001                  2.7997020236474901E-001                  3.5436627115084528E-003                  8.5951420554398906E-003                  6.9999999999999984E-001                  2.7997020236474879E-001                                        0                                        2 
                                       5                                      697                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999945149998E-001                  4.3393084744740629E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999945149998E-001                  4.3393084744740629E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8564436136936266E+000                  3.6494953422808019E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8564436136936266E+000                  3.6494953422808019E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3393084744740629E-002                 -4.9495465452157390E+000                 -9.8999999999999986E+001                 -1.9925971660800442E+001                 -4.9495465452157390E+000                 -4.9495465453166192E+000                 -1.4583524978058225E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.2894659642825245E+003                  3.6324032261702417E+000                  1.0515748628814161E+000                  2.1840196070335726E-002                  1.8568071789535858E+000                  2.6876680655918239E-001                  3.9005340141847684E+000                  0.0000000000000000E+000                  1.4881884376984768E+001                  1.3699687465170182E-001                  6.6203914809445132E+000                  6.2123402295188235E-001                  8.5000496627254174E-001                  1.2966653545593156E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.5436627115084532E-003                  8.5951420554398889E-003                  6.9999999999999951E-001                  2.7997020236474901E-001                  3.5436627115084528E-003                  8.5951420554398906E-003                  6.9999999999999984E-001                  2.7997020236474879E-001                                        0                                        2 
                                      10                                      697                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999945149998E-001                  4.3393084744740629E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999945149998E-001                  4.3393084744740629E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8564436110041691E+000                  3.6494953421884868E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8564436110041691E+000                  3.6494953421884868E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3393084744740629E-002                 -4.9495465451117981E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9495465451117981E+000                 -4.9495465452126783E+000                 -1.4583524977736452E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.2894644944171168E+003                  3.6324030773511229E+000                  1.0515734178976626E+000                  2.1839599299792879E-002                  1.8568071757596725E+000                  2.6876680581214790E-001                  3.9005340156788373E+000                  0.0000000000000000E+000                  1.4881884377028804E+001                  1.3699687468625604E-001                  6.6203914809539937E+000                  6.2123402295187724E-001                  8.5000496627254174E-001                  1.2966653545593156E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.5436627115084532E-003                  8.5951420554398889E-003                  6.9999999999999951E-001                  2.7997020236474901E-001                  3.5436627115084528E-003                  8.5951420554398906E-003                  6.9999999999999984E-001                  2.7997020236474879E-001                                        0                                        2 
                                      15                                      697                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999945149998E-001                  4.3393084744740629E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999945149998E-001                  4.3393084744740629E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8564436098367350E+000                  3.6494953419520848E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8564436098367350E+000                  3.6494953419520848E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3393084744740629E-002                 -4.9495465448434137E+000                 -9.8999999999999986E+001                 -2.0470039705150718E+001                 -4.9495465448434137E+000                 -4.9495465449442939E+000                 -1.4583524976899966E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.2894640293893581E+003                  3.6324030302685553E+000                  1.0515729603835813E+000                  2.1839410348759372E-002                  1.8568071744326466E+000                  2.6876680550176568E-001                  3.9005340162996016E+000                  0.0000000000000000E+000                  1.4881884377141487E+001                  1.3699687477407946E-001                  6.6203914809788369E+000                  6.2123402295186358E-001                  8.5000496627254174E-001                  1.2966653545593156E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.5436627115084532E-003                  8.5951420554398889E-003                  6.9999999999999951E-001                  2.7997020236474901E-001                  3.5436627115084528E-003                  8.5951420554398906E-003                  6.9999999999999984E-001                  2.7997020236474879E-001                                        0                                        2 
                                      20                                      697                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999945149998E-001                  4.3393084744740629E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999945149998E-001                  4.3393084744740629E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8564436094568324E+000                  3.6494953413550829E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8564436094568324E+000                  3.6494953413550829E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3393084744740629E-002                 -4.9495465441652344E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9495465441652344E+000                 -4.9495465442661146E+000                 -1.4583524974781543E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.2894639539427890E+003                  3.6324030226298323E+000                  1.0515728859402982E+000                  2.1839379604046999E-002                  1.8568071740268635E+000                  2.6876680540685577E-001                  3.9005340164894213E+000                  0.0000000000000000E+000                  1.4881884377425150E+001                  1.3699687499455696E-001                  6.6203914810419802E+000                  6.2123402295182906E-001                  8.5000496627254174E-001                  1.2966653545593156E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.5436627115084532E-003                  8.5951420554398889E-003                  6.9999999999999951E-001                  2.7997020236474901E-001                  3.5436627115084528E-003                  8.5951420554398906E-003                  6.9999999999999984E-001                  2.7997020236474879E-001                                        0                                        2 
                                      25                                      697                  4.7198108322034473E-003                 -3.0996500948570040E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999945149998E-001                  3.9441583408220834E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999945149998E-001                  3.9441583408220834E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8564436089056737E+000                  3.6494953398593311E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8564436089056737E+000                  3.6494953398593311E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3393084744740629E-002                 -4.9495465424678242E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9495465424678242E+000                 -4.9495465425687044E+000                 -1.4583524969475985E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.2894639689713058E+003                  3.6324030241514214E+000                  1.0515729000590106E+000                  2.1839385435006447E-002                  1.8568071734808937E+000                  2.6876680527915719E-001                  3.9005340167448188E+000                  0.0000000000000000E+000                  1.4881884378134222E+001                  1.3699687554510132E-001                  6.6203914812004010E+000                  6.2123402295174235E-001                  8.5000496627254174E-001                  1.2966653545593156E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.5436627115084532E-003                  8.5951420554398889E-003                  6.9999999999999951E-001                  2.7997020236474901E-001                  3.5436627115084528E-003                  8.5951420554398906E-003                  6.9999999999999984E-001                  2.7997020236474879E-001                                        0                                        2 
                                      30                                      697                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999945149998E-001                  3.9207140768931455E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999945149998E-001                  3.9207140768931455E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8564436071310328E+000                  3.6494953361271665E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8564436071310328E+000                  3.6494953361271665E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3393084744740629E-002                 -4.9495465382337880E+000                 -9.8999999999999986E+001                 -2.0072099696478681E+001                 -4.9495465382337880E+000                 -4.9495465383346682E+000                 -1.4583524956239925E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.2894639774782063E+003                  3.6324030250127177E+000                  1.0515729063942700E+000                  2.1839388051437703E-002                  1.8568071717092434E+000                  2.6876680486478027E-001                  3.9005340175735723E+000                  0.0000000000000000E+000                  1.4881884379902047E+001                  1.3699687691705012E-001                  6.6203914815959815E+000                  6.2123402295152563E-001                  8.5000496627254174E-001                  1.2966653545593156E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.5436627115084532E-003                  8.5951420554398889E-003                  6.9999999999999951E-001                  2.7997020236474901E-001                  3.5436627115084528E-003                  8.5951420554398906E-003                  6.9999999999999984E-001                  2.7997020236474879E-001                                        0                                        2 
                                      35                                      697                  2.9483411457712130E-002                 -2.3078376343807561E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999945149998E-001                  3.9162421215967955E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999945149998E-001                  3.9162421215967955E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8564436024427762E+000                  3.6494953268316788E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8564436024427762E+000                  3.6494953268316788E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3393084744740629E-002                 -4.9495465276885078E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9495465276885078E+000                 -4.9495465277893880E+000                 -1.4583524923274664E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.2894639781837222E+003                  3.6324030250841490E+000                  1.0515729017763717E+000                  2.1839386144268228E-002                  1.8568071670214341E+000                  2.6876680376833378E-001                  3.9005340197664653E+000                  0.0000000000000000E+000                  1.4881884384304231E+001                  1.3699688033285315E-001                  6.6203914825816330E+000                  6.2123402295098551E-001                  8.5000496627254174E-001                  1.2966653545593156E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.5436627115084532E-003                  8.5951420554398889E-003                  6.9999999999999951E-001                  2.7997020236474901E-001                  3.5436627115084528E-003                  8.5951420554398906E-003                  6.9999999999999984E-001                  2.7997020236474879E-001                                        0                                        2 
                                      40                                      697                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999945149998E-001                  3.9152467133022797E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999945149998E-001                  3.9152467133022797E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8564435906907140E+000                  3.6494953036934552E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8564435906907140E+000                  3.6494953036934552E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3393084744740629E-002                 -4.9495465014386033E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9495465014386033E+000                 -4.9495465015394835E+000                 -1.4583524841214635E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  4.2894639758973108E+003                  3.6324030248526573E+000                  1.0515728862227864E+000                  2.1839379720713273E-002                  1.8568071552690824E+000                  2.6876680101953920E-001                  3.9005340252640548E+000                  0.0000000000000000E+000                  1.4881884395261855E+001                  1.3699688883460648E-001                  6.6203914850356727E+000                  6.2123402294964103E-001                  8.5000496627254174E-001                  1.2966653545593159E+000                  6.9999999999999984E-001                  2.7997020236474884E-001                  3.5436627115084519E-003                  8.5951420554398871E-003                  6.9999999999999951E-001                  2.7997020236474901E-001                  3.5436627115084528E-003                  8.5951420554398906E-003                  6.9999999999999984E-001                  2.7997020236474879E-001                                        0                                        2 
