                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                     100                                      697                  1.0000000000000000E+000                  2.0000000000000000E-002                  4.1408986761007136E+003                  6.9014978768345213E+002                  4.2892387141778763E+003                  1.0501001579530815E+000                  1.8557013697517775E+000                 -4.0730504591058931E+000                  6.9999999998364049E-001                  2.9797651610335279E-005                  2.7997020236474901E-001                  3.5436627115084532E-003                  1.0387104877471343E-003                  8.5951420554398923E-003                  1.8669682735524824E-003                  1.0000000000000000E+000                  0.0000000000000000E+000                  6.9999999999867846E-001                  2.9797636572668892E-005                  2.7997020236474879E-001                  3.5436627115084498E-003                  1.0387104877471343E-003                  8.5951420554398871E-003                  1.8669682735524828E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5299922385307756E+004                  1.2084873148584792E+007                  9.5229011482986565E+009                  1.1295982128764753E-005                  1.1295982128764747E-005                  0.0000000000000000E+000                  4.5203331562502388E-007                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.3067682406091589E+011                               "r23.05.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20231104"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                   radius                                   csound                                       pp                                      cno                                tri_alpha                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                              mixing_type                                 brunt_N2                                 lamb_Sl1                                 lamb_Sl2 
                                       1                  1.0000000000000000E+000                  2.6850808831393913E-001                  3.6324293358335931E+000                 -6.8129551186131838E+000                  4.6211310495486311E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  1.8557013697517775E+000                  6.3737487493270438E+005                  2.2573589131664581E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9999999999999996E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.5436627115084528E-003                  1.0387104877471339E-003                  8.5951420554398889E-003                  1.8669682735524820E-003                  4.9555164717520594E-003                                        0                  4.7352626364919360E-005                  1.1112198163506468E+000                  1.9246891802966768E+000 
                                       2                  9.9999999999899991E-001                  2.6850788070525672E-001                  3.6325399380382866E+000                 -6.8121857884518100E+000                  4.6220138295043354E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  1.8557004826587098E+000                  6.3750314499142265E+005                  2.2613627606645776E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9999999999999996E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.5436627115084528E-003                  1.0387104877471339E-003                  8.5951420554398889E-003                  1.8669682735524822E-003                  4.9555164717520594E-003                                        0                  4.7303282782179716E-005                  1.1113197387744349E+000                  1.9248622510114932E+000 
                                       3                  9.9999999999775002E-001                  2.6850762165328962E-001                  3.6326630895617069E+000                 -6.8113333566339236E+000                  4.6229925984885236E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  1.8556993757537479E+000                  6.3764617041342810E+005                  2.2658073922839152E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9999999999999996E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.5436627115084528E-003                  1.0387104877471339E-003                  8.5951420554398889E-003                  1.8669682735524822E-003                  4.9555164717520594E-003                                        0                  4.7179723764600149E-005                  1.1115693184536291E+000                  1.9252945356963944E+000 
                                       4                  9.9999999999650002E-001                  2.6850736310882578E-001                  3.6328481919023234E+000                 -6.8100592372425819E+000                  4.6244566318627287E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  1.8556982710179584E+000                  6.3786147522688273E+005                  2.2724670239178026E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9999999999999996E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.5436627115084528E-003                  1.0387104877471339E-003                  8.5951420554398889E-003                  1.8669682735524822E-003                  4.9555164717520594E-003                                        0                  4.7055979286087601E-005                  1.1118197812746311E+000                  1.9257283500277769E+000 
                                       5                  9.9999999999400002E-001                  2.6850684753331971E-001                  3.6332199263320240E+000                 -6.8075273672987962E+000                  4.6273699890313678E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  1.8556960680150487E+000                  6.3829511871658894E+005                  2.2857588915219602E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9999999999999996E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.5436627115084528E-003                  1.0387104877471339E-003                  8.5951420554398889E-003                  1.8669682735524822E-003                  4.9555164717520594E-003                                        0                  4.6807896994361310E-005                  1.1123233581562710E+000                  1.9266005707722944E+000 
                                       6                  9.9999999998900002E-001                  2.6850582237081372E-001                  3.6340943531516574E+000                 -6.8017023005086124E+000                  4.6340928324281379E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  1.8556916876052911E+000                  6.3932108554163505E+005                  2.3166354585649510E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9999999999999996E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.5436627115084528E-003                  1.0387104877471339E-003                  8.5951420554398889E-003                  1.8669682735524822E-003                  4.9555164717520594E-003                                        0                  4.6309255367018676E-005                  1.1133410659162184E+000                  1.9283632923197804E+000 
                                       7                  9.9999999997650002E-001                  2.6850329357952202E-001                  3.6353703055925117E+000                 -6.7935863224260578E+000                  4.6435200997937018E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  1.8556808823947413E+000                  6.4083579972624104E+005                  2.3603520747468310E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9999999999999996E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.5436627115084528E-003                  1.0387104877471339E-003                  8.5951420554398889E-003                  1.8669682735524822E-003                  4.9555164717520594E-003                                        0                  4.5051315323813487E-005                  1.1159456233526499E+000                  1.9328745181309110E+000 
                                       8                  9.9999999996400013E-001                  2.6850081156381816E-001                  3.6373225200496315E+000                 -6.7818259869962629E+000                  4.6572883762919455E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  1.8556702771116393E+000                  6.4317995082716306E+005                  2.4251671803629024E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9999999999999996E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.5436627115084528E-003                  1.0387104877471339E-003                  8.5951420554398889E-003                  1.8669682735524822E-003                  4.9555164717520594E-003                                        0                  4.3775821354053449E-005                  1.1186347360988886E+000                  1.9375321980346774E+000 
                                       9                  9.9999999993899991E-001                  2.6849598002852954E-001                  3.6413850945009951E+000                 -6.7597158571702618E+000                  4.6835819628143618E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  1.8556496328554268E+000                  6.4814247026324295E+005                  2.5518817795610912E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9999999999999996E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.5436627115084528E-003                  1.0387104877471339E-003                  8.5951420554398889E-003                  1.8669682735524822E-003                  4.9555164717520594E-003                                        0                  4.1167573376893146E-005                  1.1242558547827666E+000                  1.9472682611905290E+000 
